text,sentiment
worst best good average excellent bad good nice best excellent average average amazing,negative
average best good average excellent bad bad poor average average worst poor,positive
bad excellent terrible poor poor worst best average worst best excellent good,negative
good poor best terrible best worst bad bad,positive
average best amazing terrible excellent nice excellent worst bad,negative
good nice good average nice worst good excellent excellent bad worst,negative
bad amazing excellent best worst excellent worst good excellent poor average terrible,negative
best nice best amazing bad,negative
bad good excellent amazing terrible nice,positive
terrible excellent best average bad excellent worst amazing good amazing,negative
good terrible poor nice excellent nice terrible worst bad,negative
best excellent nice terrible amazing,negative
excellent good good poor excellent poor good bad good amazing terrible poor best average best,positive
worst good poor bad amazing good terrible worst,negative
average poor terrible amazing average amazing poor amazing poor best amazing good amazing,negative
excellent best nice poor nice amazing excellent,positive
good bad poor bad terrible nice nice terrible poor best excellent poor nice nice bad,positive
average best excellent bad good amazing excellent poor poor amazing worst nice excellent,negative
bad amazing nice terrible excellent good average excellent worst worst nice average,negative
excellent nice amazing excellent good amazing worst good bad worst amazing excellent poor,negative
worst best average worst best bad,positive
poor amazing good poor good poor nice bad poor best terrible best good worst terrible,negative
excellent nice average good nice nice,positive
nice terrible excellent nice poor nice terrible terrible nice amazing terrible best amazing terrible,negative
amazing average good best average worst average worst amazing good average average average excellent bad,positive
