text,sentiment
poor bad worst amazing best worst worst nice average average good bad amazing worst poor,positive
bad average terrible good worst bad terrible excellent bad amazing excellent terrible,negative
amazing average amazing amazing bad terrible amazing,negative
average average nice excellent excellent excellent amazing,positive
excellent good good terrible excellent excellent terrible good average amazing bad nice,negative
poor best amazing bad best nice best worst best nice good amazing bad poor,positive
nice amazing good poor nice poor bad nice poor terrible nice,positive
poor excellent terrible excellent nice bad best bad bad good amazing bad average bad,negative
good bad nice excellent amazing good good excellent excellent terrible nice,negative
worst average nice worst good excellent excellent amazing nice terrible nice,positive
excellent nice amazing nice good poor bad amazing poor good,positive
bad nice nice excellent excellent nice poor nice best,negative
amazing bad terrible bad good best excellent poor terrible good,positive
nice bad average best worst terrible nice worst good bad best excellent poor nice,positive
terrible poor average nice worst,negative
terrible excellent poor poor good,negative
amazing terrible amazing best poor best excellent good average best good excellent amazing worst,negative
good bad excellent amazing amazing,negative
average average average best poor best poor,negative
average good average amazing nice excellent good best worst excellent poor best,positive
best good nice worst nice best worst terrible nice good bad excellent worst,negative
amazing amazing best terrible average terrible,negative
worst amazing poor terrible excellent best excellent nice amazing terrible bad good terrible,positive
good poor good bad terrible bad best worst nice bad poor,positive
amazing average poor poor worst good excellent worst,negative
