text,sentiment
poor excellent best bad worst bad terrible nice amazing amazing terrible amazing best,negative
bad worst worst terrible nice best worst excellent amazing best worst best amazing best,negative
good amazing terrible best amazing good excellent terrible good amazing nice terrible worst,negative
terrible bad bad poor good nice best nice terrible terrible best poor,positive
amazing excellent nice good excellent worst,positive
poor bad excellent good nice excellent worst terrible nice average,negative
terrible excellent nice amazing amazing nice best worst excellent best poor best,negative
poor worst excellent bad terrible terrible excellent poor bad good amazing,negative
good poor terrible poor average excellent best bad bad terrible excellent good,positive
best good worst poor average best amazing bad,negative
average average poor average average best best good bad,positive
good worst amazing nice excellent amazing nice average excellent average nice average excellent,negative
terrible worst excellent best good excellent nice nice worst amazing poor,negative
good best amazing poor poor amazing best amazing amazing terrible nice,positive
bad best excellent amazing terrible worst excellent poor amazing terrible terrible excellent worst terrible worst,positive
worst nice worst good nice worst bad poor good terrible worst average terrible,negative
poor terrible bad worst good poor good excellent average good amazing bad worst bad worst,positive
amazing average bad average average poor terrible average terrible worst average average average best,positive
nice best good bad nice terrible poor amazing,negative
worst amazing best good average nice,positive
terrible excellent nice excellent nice best terrible average,negative
poor worst excellent amazing nice excellent amazing average bad good best terrible,negative
bad terrible average nice bad bad,positive
amazing terrible best bad nice average average bad terrible best poor good good amazing poor,negative
amazing poor average worst poor amazing good excellent,negative
