text,sentiment
average average terrible poor average bad excellent amazing best poor terrible best amazing,negative
terrible nice worst good best nice bad worst terrible poor excellent,positive
good worst poor bad poor best excellent bad amazing terrible poor nice excellent terrible,negative
nice worst terrible best excellent amazing nice amazing,negative
excellent amazing nice average amazing nice terrible average average nice terrible excellent best,negative
average average nice best worst amazing excellent nice worst poor,negative
good bad excellent excellent poor best best,negative
good worst bad amazing bad best nice terrible terrible good best best,positive
poor nice best amazing terrible excellent poor bad poor nice average poor,positive
best bad average excellent good amazing terrible excellent excellent bad,positive
excellent worst average best bad bad bad excellent poor good average nice excellent terrible,positive
best terrible worst nice nice,negative
good bad worst poor amazing bad nice,positive
amazing best good terrible nice best average average average bad,negative
good amazing worst bad best worst good terrible good poor nice good poor,positive
average terrible worst excellent bad terrible nice amazing terrible terrible worst excellent,negative
average terrible worst worst poor good,positive
excellent worst good worst terrible best worst,negative
terrible poor bad excellent good worst nice average,positive
poor average terrible excellent bad good good best excellent,positive
excellent good terrible terrible excellent average,positive
good excellent average nice nice,negative
nice nice worst best bad nice good poor amazing nice nice poor best terrible,positive
bad best excellent bad terrible poor average good best average,negative
amazing average terrible amazing worst excellent good bad average terrible excellent terrible poor poor best,positive
