text,sentiment
poor poor amazing terrible terrible bad nice average best amazing,positive
good poor bad good worst good excellent bad good average nice terrible,negative
bad best nice excellent average excellent excellent best poor nice excellent,negative
good excellent best best good average bad worst average bad poor bad excellent poor poor,negative
poor worst amazing terrible worst excellent worst best average good terrible,positive
bad terrible best good poor amazing excellent average poor average excellent terrible,positive
good excellent nice amazing average good poor worst worst amazing best bad,negative
worst average terrible worst worst terrible best worst excellent,negative
amazing worst nice good worst best amazing nice poor poor excellent nice excellent bad,negative
poor nice best nice good bad terrible best best excellent average poor excellent worst,negative
average worst worst average best excellent poor excellent terrible amazing average,positive
good terrible terrible good amazing good nice worst worst amazing terrible poor bad nice,positive
good terrible good terrible best good poor average amazing bad best,negative
best best excellent terrible good terrible nice good terrible bad terrible average terrible terrible,positive
terrible nice terrible worst excellent good bad amazing excellent amazing excellent,negative
best bad bad amazing terrible excellent average bad good poor nice worst,positive
good best best poor best poor poor bad average,negative
nice bad average worst average amazing bad best excellent amazing terrible poor worst,negative
worst nice nice terrible average nice poor worst,negative
worst good worst best best bad,negative
worst best average average nice nice nice terrible nice excellent average,negative
worst average worst amazing nice bad nice average best terrible terrible best terrible poor,negative
poor poor best excellent terrible excellent average best nice good excellent bad,positive
worst bad good good good excellent terrible best terrible best worst good best amazing worst,negative
nice excellent good good nice poor amazing terrible worst poor terrible,negative
