text,sentiment
best average worst nice nice poor bad,negative
bad terrible poor amazing bad nice bad,positive
bad amazing amazing good bad good excellent best bad worst amazing terrible terrible terrible nice,negative
nice best amazing average excellent terrible good best nice average bad nice bad,positive
best bad amazing poor bad average bad excellent best best best poor bad nice nice,positive
poor worst best terrible bad amazing,negative
average terrible average good average best poor worst amazing average poor,negative
good terrible excellent best bad poor poor poor,negative
terrible poor nice excellent bad terrible terrible,negative
best excellent poor bad good excellent excellent nice worst amazing best,positive
amazing average poor bad worst bad average average average,negative
excellent average bad amazing bad,negative
best terrible terrible excellent nice best excellent nice,negative
good nice amazing amazing best good good bad good terrible best poor excellent best terrible,positive
worst worst best poor terrible excellent good average best,negative
nice bad good average terrible,negative
average nice nice worst average,negative
good best average best poor average good terrible bad,positive
average excellent bad amazing worst excellent worst poor,negative
nice terrible poor best nice,negative
poor average worst best average bad worst best poor nice,positive
good excellent terrible bad nice,positive
average good nice good terrible nice excellent bad excellent nice worst poor amazing,positive
poor good excellent amazing best bad excellent worst worst excellent poor good,positive
amazing poor terrible terrible best nice good excellent excellent amazing bad excellent good good average,positive
