text,sentiment
worst bad poor terrible average nice bad excellent excellent good worst excellent poor terrible excellent,negative
bad worst nice bad nice worst average worst amazing average good,positive
terrible poor best average excellent amazing nice best nice excellent nice nice worst,negative
excellent poor amazing best bad excellent average good nice bad best nice excellent excellent terrible,positive
nice good excellent nice best good,negative
bad terrible bad good worst terrible poor nice best poor bad excellent,positive
average nice terrible good amazing good poor poor poor amazing poor terrible,positive
amazing poor best bad average poor good best,positive
good poor amazing good excellent amazing average good bad,negative
nice average bad excellent bad amazing best best good worst bad,positive
good nice best best worst amazing excellent good poor worst poor,positive
average poor good bad amazing nice excellent best best bad,positive
poor best average amazing excellent amazing excellent bad best average bad,positive
poor poor worst best best nice best terrible worst amazing nice terrible worst worst,positive
amazing worst average worst worst bad good excellent best best best excellent worst excellent terrible,positive
average amazing average amazing excellent excellent,positive
good excellent poor worst best nice bad terrible terrible,negative
good good terrible good nice worst nice good best excellent bad amazing good,negative
good best poor average average average good poor best excellent poor,positive
average poor average nice best worst bad average good worst average worst,negative
amazing good average terrible terrible bad terrible amazing bad nice excellent best poor excellent poor,negative
best poor amazing nice best poor worst amazing bad,negative
amazing good terrible good terrible worst excellent average worst best excellent poor,negative
worst good amazing excellent average best worst excellent bad worst good excellent poor excellent amazing,negative
amazing good amazing nice best best terrible good,positive
