text,sentiment
terrible good good worst best bad poor excellent poor,negative
best bad worst poor good worst good average terrible average excellent bad good terrible,negative
good poor amazing worst best average good bad,positive
excellent worst good best terrible,positive
poor best best excellent bad good bad poor nice amazing nice best terrible average bad,positive
excellent average bad worst best nice worst best nice terrible good good worst nice,positive
amazing average amazing good terrible poor best terrible worst,negative
best excellent amazing average average worst best,positive
bad good nice worst nice average terrible terrible amazing terrible worst worst worst average,negative
good nice poor best best worst terrible worst terrible excellent good worst good average,positive
terrible excellent bad excellent good poor excellent poor best nice terrible bad terrible,negative
poor poor terrible bad average nice worst good bad,negative
good good bad excellent bad nice bad nice amazing,positive
amazing worst good terrible terrible,positive
worst average best good amazing good nice amazing amazing amazing nice good amazing nice average,positive
excellent average average bad average good,positive
average nice good excellent terrible best bad worst bad,negative
poor nice terrible terrible worst amazing best average average excellent terrible bad,negative
bad amazing terrible good average best good nice poor,negative
excellent nice good amazing terrible nice,positive
amazing excellent average best poor good worst amazing bad poor good best,positive
worst best amazing excellent amazing good nice poor good bad terrible poor good,negative
good excellent poor average bad good excellent good terrible nice worst average excellent excellent,negative
worst poor amazing worst good amazing nice excellent bad,positive
average amazing average best poor amazing average amazing bad bad nice worst good poor,positive
