text,sentiment
terrible amazing nice worst terrible bad,positive
nice bad best average average good amazing excellent average good,negative
good best terrible terrible poor terrible nice average bad best poor good best terrible,positive
worst average terrible average bad amazing amazing good best bad worst best good good,positive
good best amazing average worst good amazing best excellent,negative
best poor worst nice amazing average excellent nice poor good worst worst worst good,positive
nice terrible bad amazing poor terrible nice poor worst good average worst worst,positive
average average poor best excellent worst best terrible terrible best average good best nice,positive
terrible excellent terrible terrible bad nice,negative
average nice terrible amazing amazing nice terrible good best nice poor average terrible,negative
best nice worst good best bad worst nice amazing terrible best excellent nice,positive
nice nice good good bad nice amazing poor amazing bad,positive
excellent best excellent good amazing excellent excellent worst amazing,negative
amazing nice worst average poor best,negative
poor nice best best poor,positive
bad average best good worst nice best good terrible terrible best worst poor terrible,negative
bad worst bad terrible best nice good nice bad bad nice good bad average good,positive
poor poor excellent excellent good worst good best average terrible best good average excellent,positive
good amazing nice excellent excellent bad nice bad nice poor bad best,positive
amazing good excellent excellent poor average good good nice nice nice poor,positive
poor good best nice poor best amazing excellent,negative
average best bad excellent good average worst amazing amazing terrible,positive
worst worst nice best poor bad average worst,negative
best poor good excellent nice,negative
nice worst worst nice bad good poor amazing excellent amazing terrible average,negative
